12:22:48,798  INFO DruidDataSource:2029 - {dataSource-0} closing ...
15:54:34,272 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:54:34,359 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:54:41,133 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:54:55,561 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:54:55,626 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:54:55,661 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:10,797 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:10,837 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:10,887 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:15,131 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
